"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\assets\icons\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\index.html", "HTML", 0, 0, 83, 0, 0, 0, 15, 98
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\auth.js", "JavaScript", 0, 0, 0, 73, 0, 0, 22, 95
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\config.js", "JavaScript", 0, 0, 0, 24, 0, 1, 5, 30
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\helpers\confirmation-modal.js", "JavaScript", 0, 0, 0, 86, 0, 0, 19, 105
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\helpers\form-submit-lock.js", "JavaScript", 0, 0, 0, 33, 0, 0, 8, 41
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\http.js", "JavaScript", 0, 0, 0, 54, 0, 0, 16, 70
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\layout.js", "JavaScript", 0, 0, 0, 63, 0, 2, 11, 76
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\notify.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\notify\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\notify\notify.core.js", "JavaScript", 0, 0, 0, 33, 0, 0, 11, 44
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\core\notify\notify.styles.js", "JavaScript", 0, 0, 0, 147, 0, 0, 5, 152
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.controller.js", "JavaScript", 0, 0, 0, 95, 0, 0, 11, 106
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.events.js", "JavaScript", 0, 0, 0, 106, 0, 0, 16, 122
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.history.js", "JavaScript", 0, 0, 0, 172, 0, 0, 46, 218
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.page-controller.js", "JavaScript", 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.render.js", "JavaScript", 0, 0, 0, 279, 0, 0, 29, 308
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.state.js", "JavaScript", 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.topbar.js", "JavaScript", 0, 0, 0, 32, 0, 0, 9, 41
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\alarmas\alarmas.utils.js", "JavaScript", 0, 0, 0, 40, 0, 0, 9, 49
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.controller.js", "JavaScript", 0, 0, 0, 99, 0, 0, 10, 109
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.data.js", "JavaScript", 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.events.js", "JavaScript", 0, 0, 0, 107, 0, 0, 14, 121
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.history.js", "JavaScript", 0, 0, 0, 172, 0, 0, 46, 218
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.page-controller.js", "JavaScript", 0, 0, 0, 140, 0, 7, 36, 183
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.render.js", "JavaScript", 0, 0, 0, 282, 0, 5, 35, 322
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.state.js", "JavaScript", 0, 0, 0, 12, 0, 3, 3, 18
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.topbar.js", "JavaScript", 0, 0, 0, 32, 0, 0, 9, 41
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-alarmas\cuidador-alarmas.utils.js", "JavaScript", 0, 0, 0, 39, 0, 0, 8, 47
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-medicinas\cuidador-medicinas.actions.js", "JavaScript", 0, 0, 0, 198, 0, 0, 32, 230
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-medicinas\cuidador-medicinas.alarma.js", "JavaScript", 0, 0, 0, 133, 0, 0, 23, 156
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-medicinas\cuidador-medicinas.controller.js", "JavaScript", 0, 0, 0, 60, 0, 0, 8, 68
